phi,Pe,r,g_avg
30,15,1.1125,3.0022475555555563
30,15,1.1375,5.544322755555556
30,15,1.1625,4.392831811111112
30,15,1.1875,3.3852634111111115
30,15,1.2125,3.0460483666666662
30,15,1.2375,2.4727276222222194
30,15,1.2625,2.2231024555555554
30,15,1.2875,1.9831716444444443
30,15,1.3125,1.544127233333334
30,15,1.3375,1.5501558000000004
30,15,1.3625,1.2574924333333328
30,15,1.3875,1.2348347333333334
30,15,1.4125,1.1138644444444452
30,15,1.4375,1.140869655555555
30,15,1.4625,1.0438746444444447
30,15,1.4875,0.9456582666666665
30,15,1.5125,1.0225894444444432
30,15,1.5375,0.8932251444444442
30,15,1.5625,0.8277333333333338
30,15,1.5875,0.9322835333333335
30,15,1.6125,0.9467699666666665
30,15,1.6375,0.7938930555555552
30,15,1.6625,0.8902256666666669
30,15,1.6875,0.932345777777778
30,15,1.7125,0.8525548333333324
30,15,1.7375,0.8517987222222223
30,15,1.7625,0.7035462777777777
30,15,1.7875,0.8242424555555559
30,15,1.8125,0.7319543111111113
30,15,1.8375,0.7292518555555557
30,15,1.8625,0.7695749999999992
30,15,1.8875,0.8052981222222224
